nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	name	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	name	
0	0.87667	5.26021	0.73284	0.00000	1.48334	2.17418	2.66438	3.09357	0.28629	0.19647	0.02678	2.91773	0.02720	0.02720	0.00481	0.00555	1.09307	0.60866	261.57465	18	0.12900	0.09700	2710.00000	4.90054	M	166.37869	43.52163	168.50524	63.08002	BD+442051B
0	2.22537	14.45207	4.54690	0.00000	1.48334	4.95409	4.34215	5.70228	0.56055	0.27126	0.01619	2.91773	0.05336	0.05336	0.00888	0.01089	0.28406	0.66251	165.43753	18	0.12900	0.09700	2710.00000	4.90054	M	166.37869	43.52163	168.50524	63.08002	BD+442051B
0	0.62155	34.20519	0.19838	0.00000	1.48334	2.58139	2.25626	5.71418	0.10292	0.32050	0.01527	2.91773	0.09476	0.09476	0.00280	0.01934	0.09006	0.00033	148.38617	18	0.12900	0.09700	2710.00000	4.90054	M	166.37869	43.52163	168.50524	63.08002	BD+442051B
0	3.28266	100.39454	4.83882	0.00000	1.48334	0.51454	1.16599	4.49485	0.58729	0.43538	0.00649	2.91773	0.19425	0.19425	0.03227	0.03964	0.02143	0.66403	85.35412	18	0.12900	0.09700	2710.00000	4.90054	M	166.37869	43.52163	168.50524	63.08002	BD+442051B
0	2.01215	4.24960	7.79694	0.00000	1.86715	5.53417	3.68431	6.16511	0.73408	0.49455	0.02956	1.94393	0.04182	0.04182	0.00198	0.00215	30.75329	0.54037	470.66587	19	0.53500	0.54000	3800.00000	19.44428	M	214.35159	45.44448	85.55672	64.94743	BD+461951
0	1.08528	68.07963	1.45303	0.00000	1.86715	4.81601	4.08773	0.81447	0.43744	0.17180	0.05484	1.94393	0.26573	0.26573	0.00469	0.01367	0.76149	0.94374	225.17156	19	0.53500	0.54000	3800.00000	19.44428	M	214.35159	45.44448	85.55672	64.94743	BD+461951
0	1.26378	4.24039	1.82542	0.00000	1.90579	0.79297	5.81680	2.86519	0.39730	0.13227	0.01653	4.78875	0.03778	0.03778	0.00146	0.00190	14.63026	0.06641	479.61433	20	0.39300	0.40000	3500.00000	19.87755	M	76.70798	-21.58587	222.48980	-32.17472	BD-211074A
0	2.32515	10.96448	11.56315	0.00000	1.90579	1.23083	6.06298	4.69361	0.55415	0.11716	0.03544	4.78875	0.07117	0.07117	0.00142	0.00358	4.12233	0.92470	324.06821	20	0.39300	0.40000	3500.00000	19.87755	M	76.70798	-21.58587	222.48980	-32.17472	BD-211074A
0	1.32501	17.19913	2.06734	0.00000	1.90579	5.48762	5.22788	0.19261	0.59520	0.08115	0.02292	4.78875	0.09609	0.09609	0.00337	0.00483	2.26179	0.76314	272.25641	20	0.39300	0.40000	3500.00000	19.87755	M	76.70798	-21.58587	222.48980	-32.17472	BD-211074A
0	1.56855	26.58936	3.19580	0.00000	1.90579	4.81583	3.18951	0.22348	0.70912	0.05789	0.03794	4.78875	0.12847	0.12847	0.00625	0.00646	1.26527	0.45515	216.78358	20	0.39300	0.40000	3500.00000	19.87755	M	76.70798	-21.58587	222.48980	-32.17472	BD-211074A
0	2.02597	90.13100	5.71221	0.00000	1.90579	1.20766	0.88220	0.21036	0.01096	0.09819	0.01328	4.78875	0.28989	0.28989	0.00795	0.01458	0.24848	0.01965	195.96592	20	0.39300	0.40000	3500.00000	19.87755	M	76.70798	-21.58587	222.48980	-32.17472	BD-211074A
0	2.51530	149.67777	1.90274	0.00000	1.90579	1.16008	3.65860	1.45099	0.74482	0.40902	0.00977	4.78875	0.40653	0.40653	0.01005	0.02045	0.12635	0.88490	117.94004	20	0.39300	0.40000	3500.00000	19.87755	M	76.70798	-21.58587	222.48980	-32.17472	BD-211074A
0	0.62969	3.09028	0.30038	0.00000	1.90818	2.13167	4.43263	5.60458	0.26818	0.29935	0.05896	5.01771	0.03229	0.03229	0.00139	0.00165	32.46391	0.63763	614.47671	21	0.46000	0.47000	3650.00000	19.55998	M	46.98230	-28.21971	223.05150	-59.86073	CD-281030
0	2.89846	9.13676	19.42121	0.00000	1.90818	2.71832	4.30762	4.21221	0.18473	0.20589	0.08266	5.01771	0.06651	0.06651	0.00228	0.00340	7.65025	0.03984	439.84382	21	0.46000	0.47000	3650.00000	19.55998	M	46.98230	-28.21971	223.05150	-59.86073	CD-281030
0	1.39733	15.26852	3.69518	0.00000	1.90818	4.49683	3.64214	2.27579	0.68814	0.51153	0.01255	5.01771	0.09366	0.09366	0.00451	0.00479	3.85777	0.50509	291.49242	21	0.46000	0.47000	3650.00000	19.55998	M	46.98230	-28.21971	223.05150	-59.86073	CD-281030
0	0.61458	21.39774	0.15150	0.00000	1.90818	3.45339	1.51627	3.55101	0.27358	0.42286	0.01860	5.01771	0.11729	0.11729	0.00279	0.00600	2.45985	0.89662	321.79362	21	0.46000	0.47000	3650.00000	19.55998	M	46.98230	-28.21971	223.05150	-59.86073	CD-281030
0	0.73968	109.94809	0.27079	0.00000	1.90818	4.80159	4.11431	1.38797	0.18450	0.17159	0.04090	5.01771	0.34924	0.34924	0.01335	0.01786	0.27743	0.72366	191.95399	21	0.46000	0.47000	3650.00000	19.55998	M	46.98230	-28.21971	223.05150	-59.86073	CD-281030
0	1.55730	166.44369	2.20006	0.00000	1.90818	4.24245	4.52460	5.57735	0.58984	0.16007	0.03573	5.01771	0.46045	0.46045	0.01898	0.02354	0.15960	0.67141	140.78360	21	0.46000	0.47000	3650.00000	19.55998	M	46.98230	-28.21971	223.05150	-59.86073	CD-281030
0	0.80830	1.99611	0.52588	0.00000	0.49084	6.04838	1.63341	3.01957	0.47425	0.02140	0.08577	8.63409	0.01752	0.01752	0.00115	0.00130	16.00813	0.58951	474.06031	22	0.24300	0.18000	3100.00000	13.43795	M	34.14628	-30.96875	229.67648	-71.03028	CD-31908
0	1.19027	6.84864	3.40098	0.00000	0.49084	0.49807	5.37129	4.09969	0.09519	0.49440	0.03164	8.63409	0.03985	0.03985	0.00297	0.00297	3.09349	0.32927	360.00186	22	0.24300	0.18000	3100.00000	13.43795	M	34.14628	-30.96875	229.67648	-71.03028	CD-31908
0	1.35858	26.66406	3.13020	0.00000	0.49084	3.77850	4.65197	4.10372	0.74699	0.09284	0.01708	8.63409	0.09863	0.09863	0.00702	0.00734	0.50507	0.18583	166.40940	22	0.24300	0.18000	3100.00000	13.43795	M	34.14628	-30.96875	229.67648	-71.03028	CD-31908
0	1.46163	51.73052	2.65160	0.00000	0.49084	5.41617	3.16356	3.46391	0.69248	0.23151	0.04056	8.63409	0.15342	0.15342	0.01127	0.01142	0.20873	0.24280	140.09360	22	0.24300	0.18000	3100.00000	13.43795	M	34.14628	-30.96875	229.67648	-71.03028	CD-31908
0	1.18102	0.99769	6.07894	0.00000	1.40079	0.41446	0.11685	0.37495	0.08818	0.37106	0.05909	0.67072	0.01247	0.01247	0.00082	0.00093	54.71674	0.12075	739.70921	23	0.29100	0.26000	3250.00000	13.41301	M	34.17166	-30.98840	229.72915	-71.00649	CD-31909
0	1.45583	2.75153	1.04267	0.00000	1.40079	6.01205	4.64489	0.83370	0.39723	0.54923	0.01965	0.67072	0.02453	0.02453	0.00129	0.00183	14.14757	0.75770	475.62218	23	0.29100	0.26000	3250.00000	13.41301	M	34.17166	-30.98840	229.72915	-71.00649	CD-31909
0	1.07845	8.60823	1.25666	0.00000	1.40079	4.72495	0.16010	2.17942	0.72818	0.43577	0.09894	0.67072	0.05247	0.05247	0.00276	0.00391	3.09192	0.04797	266.49079	23	0.29100	0.26000	3250.00000	13.41301	M	34.17166	-30.98840	229.72915	-71.00649	CD-31909
0	1.36037	13.92965	2.39038	0.00000	1.40079	4.96534	5.22762	6.01337	0.00071	0.24270	0.00761	0.67072	0.07232	0.07232	0.00158	0.00539	1.62752	0.95882	314.31023	23	0.29100	0.26000	3250.00000	13.41301	M	34.17166	-30.98840	229.72915	-71.00649	CD-31909
0	0.90772	58.96670	0.58334	0.00000	1.40079	4.21471	2.02893	1.45636	0.09313	0.05581	0.02506	0.67072	0.18925	0.18925	0.01331	0.01411	0.23767	0.50209	189.64139	23	0.29100	0.26000	3250.00000	13.41301	M	34.17166	-30.98840	229.72915	-71.00649	CD-31909
