nstar	snr_ref	snr_t6	ratio	ratio_equal_area	in_ref_top50
447	1.08356	1.60209	1.47854	1.20762	False
448	1.9118	2.29321	1.19951	0.979717	False
449	3.61921	5.83515	1.61227	1.31685	False
450	0.816889	1.11305	1.36255	1.11289	False
451	1.16969	1.47319	1.25946	1.02869	False
452	1.23542	1.58763	1.28509	1.04962	False
453	1.66644	2.11337	1.2682	1.03582	False
454	1.26053	1.7101	1.35666	1.10807	False
455	1.79003	3.07107	1.71565	1.40129	False
457	3.22285	4.50196	1.39689	1.14093	False
458	1.39892	1.77093	1.26593	1.03397	False
459	2.55775	3.99929	1.5636	1.27709	False
460	0.662001	0.913802	1.38036	1.12744	False
461	1.54975	2.50092	1.61376	1.31807	False
462	1.01373	1.32676	1.30879	1.06897	False
463	1.26451	1.68279	1.33079	1.08694	False
464	2.62618	4.7185	1.79671	1.4675	False
465	0.897878	1.18196	1.3164	1.07519	False
466	1.19763	1.50101	1.25332	1.02367	False
467	1.8356	2.56229	1.39589	1.14011	False
468	5.0436	6.7024	1.32889	1.0854	False
469	1.54159	2.06434	1.3391	1.09373	False
470	2.58387	3.582	1.38629	1.13228	False
472	2.27204	3.39485	1.49419	1.2204	False
474	1.85719	2.61604	1.4086	1.1505	False
475	0.89904	1.2967	1.44232	1.17804	False
476	1.09077	1.44146	1.32151	1.07936	False
477	2.78363	4.22732	1.51864	1.24037	False
478	4.81376	6.71192	1.39432	1.13884	False
479	1.23739	1.67647	1.35485	1.1066	False
480	1.45595	1.95071	1.33982	1.09432	False
481	1.02419	1.5059	1.47033	1.20092	False
482	0.984002	1.43762	1.46099	1.19329	False
483	0.345153	0.428603	1.24178	1.01424	False
484	1.62125	2.25115	1.38853	1.1341	False
486	5.7673	8.3862	1.4541	1.18766	False
487	0.417255	0.544796	1.30567	1.06643	False
488	1.4998	2.20056	1.46724	1.19839	False
489	9.16816	15.916	1.736	1.41791	False
490	0.493529	0.640932	1.29867	1.06071	False
491	0.766658	1.70021	2.21768	1.81133	False
492	0.95933	1.28826	1.34288	1.09682	False
493	0.512173	0.676157	1.32018	1.07828	False
494	2.55379	3.43082	1.34342	1.09726	False
495	1.11371	1.54356	1.38597	1.13201	False
496	1.78895	2.48668	1.39002	1.13532	False
497	1.81994	3.01539	1.65686	1.35327	False
498	0.876478	1.19536	1.36383	1.11393	False
499	8.01087	13.5104	1.68651	1.37749	False
500	3.32933	4.55396	1.36783	1.1172	False
501	1.7323	2.23364	1.28941	1.05315	False
502	1.16505	1.91208	1.64119	1.34047	False
504	4.89259	7.49776	1.53247	1.25167	False
505	0.846445	1.08724	1.28448	1.04912	False
506	1.90788	2.53955	1.33108	1.08718	False
507	1.18676	1.51901	1.27996	1.04543	False
508	1.1438	1.75422	1.53368	1.25266	False
509	11.1658	16.3882	1.46771	1.19878	True
510	0.763475	0.990406	1.29723	1.05954	False
511	1.35757	1.8381	1.35397	1.10588	False
512	1.02277	1.1333	1.10808	0.905042	False
513	1.66484	2.30199	1.3827	1.12935	False
514	4.03752	5.36744	1.32939	1.0858	False
516	0.526519	0.954521	1.81289	1.48071	False
517	9.95843	16.0719	1.6139	1.31818	True
518	0.458487	0.571579	1.24666	1.01823	False
519	0.700313	0.974048	1.39088	1.13602	False
520	1.42797	1.91359	1.34008	1.09453	False
521	1.94553	2.57155	1.32177	1.07958	False
