design	catalog	target_yr	short_budget	long_budget	mtime_yr
bracewell4	hab2lo	7.5	16926.6662	1301.0252	14.3183
bracewell4	hab2lo	7.5	16926.6662	1995.2623	14.3183
bracewell4	hab2lo	7.5	16926.6662	3059.9497	14.3183
bracewell4	hab2lo	7.5	16926.6662	4692.7625	14.3183
bracewell4	hab2lo	7.5	16926.6662	7196.8567	14.3183
bracewell4	hab2lo	7.5	16926.6662	11037.1550	14.3183
bracewell4	hab2lo	7.5	16926.6662	16926.6662	14.3183
bracewell4	hab2lo	7.5	16926.6662	25958.8659	14.3183
bracewell4	hab2lo	7.5	16926.6662	39810.7171	14.3183
bracewell4	hab2lo	7.5	25958.8659	100.0000	17.2966
bracewell4	hab2lo	7.5	25958.8659	153.3608	17.2966
bracewell4	hab2lo	7.5	25958.8659	235.1953	17.2966
bracewell4	hab2lo	7.5	25958.8659	360.6973	17.2966
bracewell4	hab2lo	7.5	25958.8659	553.1681	17.2966
bracewell4	hab2lo	7.5	25958.8659	848.3429	17.2966
bracewell4	hab2lo	7.5	25958.8659	1301.0252	17.2966
bracewell4	hab2lo	7.5	25958.8659	1995.2623	17.2966
bracewell4	hab2lo	7.5	25958.8659	3059.9497	17.2966
bracewell4	hab2lo	7.5	25958.8659	4692.7625	17.2966
